3,2,2,6
4,1,4,30
6,3,1,24
7,2,5,10
2,2,3,27
3,1,3,12
4,1,2,57
2,1,3,69
3,3,1,16
3,3,1,16
2,1,2,72
3,7,3,5
2,1,3,73
5,6,4,39
5,6,4,39
5,6,4,39
1,1,4,74
1,1,4,74
1,1,3,47
1,1,3,47
5,1,3,26
5,1,4,18
3,1,2,10
4,6,2,63
4,3,5,16
4,3,5,16
4,3,5,16
4,1,4,2
5,1,2,15
2,1,1,7
2,6,5,8
2,6,5,8
2,6,5,8
2,6,5,8
2,6,5,8
2,4,5,8
2,4,5,8
4,1,4,26
6,1,2,42
6,3,5,75
